검색지역,검색키워드,제목,회사정보,근무조건,이미지URL,채용공고링크,수집일시
강남구,강아지,개인카페 커피숍 주말마감 알바 구해요 !,"카페꼬미
·
역삼동
·
2일 전","시급 1만 30원
·
금~일
·
19:00~01:00",https://dnvefa72aowie.cloudfront.net/jobs/article/56819164/1714824885076/job-post-1003538408.jpeg?q=95&s=1440x1440&t=inside,https://www.daangn.com/kr/jobs/%EA%B0%9C%EC%9D%B8%EC%B9%B4%ED%8E%98-%EC%BB%A4%ED%94%BC%EC%88%8D-%EC%A3%BC%EB%A7%90%EB%A7%88%EA%B0%90-%EC%95%8C%EB%B0%94-%EA%B5%AC%ED%95%B4%EC%9A%94-36upb6v6i9x8/?in=%EA%B0%95%EB%82%A8%EA%B5%AC-381,2025-02-17 15:30:13
강남구,강아지,강아지 산책 알바 구합니다.,"이웃알바
·
신사동
·
17일 전","건당 1만원
·
목~금
·
09:00~18:00 협의",https://dnvefa72aowie.cloudfront.net/jobs/article/13253447/1715237157979/job-post-3016740713.jpeg?q=95&s=1440x1440&t=inside,https://www.daangn.com/kr/jobs/%EA%B0%95%EC%95%84%EC%A7%80-%EC%82%B0%EC%B1%85-%EC%95%8C%EB%B0%94-%EA%B5%AC%ED%95%A9%EB%8B%88%EB%8B%A4-7ozig9d8uqn2/?in=%EA%B0%95%EB%82%A8%EA%B5%AC-381,2025-02-17 15:30:13
강남구,강아지,19개월 남아 베이비시터 선생님 모십니다,"이웃알바
·
개포동
·
2일 전","시급 1만 7,000원
·
화~금
·
09:00~18:00 협의",https://img.kr.gcp-karroter.net/jobs/article/2599920/1738548130373/job-post-2340333136.jpeg?q=95&s=1440x1440&t=inside,https://www.daangn.com/kr/jobs/19%EA%B0%9C%EC%9B%94-%EB%82%A8%EC%95%84-%EB%B2%A0%EC%9D%B4%EB%B9%84%EC%8B%9C%ED%84%B0-%EC%84%A0%EC%83%9D%EB%8B%98-%EB%AA%A8%EC%8B%AD%EB%8B%88%EB%8B%A4-upm975553aae/?in=%EA%B0%95%EB%82%A8%EA%B5%AC-381,2025-02-17 15:30:13
강남구,강아지,나비캣에서 함께 근무할 직원을 구합니다,"고양이 나비캣 강남점
·
논현동
·
4일 전","시급 1만 500원
·
월, 화, 수, 금, 토, 일
·
11:00~15:00 협의",https://img.kr.gcp-karroter.net/jobs/article/88573685/1736836018174/job-post-3345232153.jpeg?q=95&s=1440x1440&t=inside,https://www.daangn.com/kr/jobs/%EB%82%98%EB%B9%84%EC%BA%A3%EC%97%90%EC%84%9C-%ED%95%A8%EA%BB%98-%EA%B7%BC%EB%AC%B4%ED%95%A0-%EC%A7%81%EC%9B%90%EC%9D%84-%EA%B5%AC%ED%95%A9%EB%8B%88%EB%8B%A4-w6muha5fkx98/?in=%EA%B0%95%EB%82%A8%EA%B5%AC-381,2025-02-17 15:30:13
강남구,강아지,베이비시터! 오후시간 시간제 전문가님 모십니다.,"이웃알바
·
논현동
·
7일 전","시급 1만 5,000원
·
월~금
·
15:00~20:00",이미지 없음,https://www.daangn.com/kr/jobs/%EB%B2%A0%EC%9D%B4%EB%B9%84%EC%8B%9C%ED%84%B0-%EC%98%A4%ED%9B%84%EC%8B%9C%EA%B0%84-%EC%8B%9C%EA%B0%84%EC%A0%9C-%EC%A0%84%EB%AC%B8%EA%B0%80%EB%8B%98-%EB%AA%A8%EC%8B%AD%EB%8B%88%EB%8B%A4-c28hcg7rs46h/?in=%EA%B0%95%EB%82%A8%EA%B5%AC-381,2025-02-17 15:30:14
강남구,강아지,"청소 , 반려동물 산책","이웃알바
·
삼성동
·
8일 전","시급 1만 5,000원
·
월, 수, 금
·
09:00~18:00 협의",이미지 없음,https://www.daangn.com/kr/jobs/%EC%B2%AD%EC%86%8C-%EB%B0%98%EB%A0%A4%EB%8F%99%EB%AC%BC-%EC%82%B0%EC%B1%85-wd2xyg4acg1q/?in=%EA%B0%95%EB%82%A8%EA%B5%AC-381,2025-02-17 15:30:14
강남구,강아지,논현동 가정집 반려동물 돌봄 (일요일),"이웃알바
·
논현동
·
1개월 전","건당 18만원
·
일
·
07:00~16:30",이미지 없음,https://www.daangn.com/kr/jobs/%EB%85%BC%ED%98%84%EB%8F%99-%EA%B0%80%EC%A0%95%EC%A7%91-%EB%B0%98%EB%A0%A4%EB%8F%99%EB%AC%BC-%EB%8F%8C%EB%B4%84-%EC%9D%BC%EC%9A%94%EC%9D%BC-aaywwyak1wxb/?in=%EA%B0%95%EB%82%A8%EA%B5%AC-381,2025-02-17 15:30:14
강남구,강아지,논현동 가정집 반려동물 돌봄 (평일/주말),"이웃알바
·
논현동
·
2개월 전","건당 18만원
·
일
·
09:00~18:00 협의",이미지 없음,https://www.daangn.com/kr/jobs/%EB%85%BC%ED%98%84%EB%8F%99-%EA%B0%80%EC%A0%95%EC%A7%91-%EB%B0%98%EB%A0%A4%EB%8F%99%EB%AC%BC-%EB%8F%8C%EB%B4%84-%ED%8F%89%EC%9D%BC-%EC%A3%BC%EB%A7%90-94k1qe4cjmq7/?in=%EA%B0%95%EB%82%A8%EA%B5%AC-381,2025-02-17 15:30:14
강남구,고양이,나비캣에서 함께 근무할 직원을 구합니다,"고양이 나비캣 강남점
·
논현동
·
4일 전","시급 1만 500원
·
월, 화, 수, 금, 토, 일
·
11:00~15:00 협의",https://img.kr.gcp-karroter.net/jobs/article/88573685/1736836018174/job-post-3345232153.jpeg?q=95&s=1440x1440&t=inside,https://www.daangn.com/kr/jobs/%EB%82%98%EB%B9%84%EC%BA%A3%EC%97%90%EC%84%9C-%ED%95%A8%EA%BB%98-%EA%B7%BC%EB%AC%B4%ED%95%A0-%EC%A7%81%EC%9B%90%EC%9D%84-%EA%B5%AC%ED%95%A9%EB%8B%88%EB%8B%A4-w6muha5fkx98/?in=%EA%B0%95%EB%82%A8%EA%B5%AC-381,2025-02-17 15:30:14
강남구,고양이,논현동 가정집 반려동물 돌봄 (일요일),"이웃알바
·
논현동
·
1개월 전","건당 18만원
·
일
·
07:00~16:30",이미지 없음,https://www.daangn.com/kr/jobs/%EB%85%BC%ED%98%84%EB%8F%99-%EA%B0%80%EC%A0%95%EC%A7%91-%EB%B0%98%EB%A0%A4%EB%8F%99%EB%AC%BC-%EB%8F%8C%EB%B4%84-%EC%9D%BC%EC%9A%94%EC%9D%BC-aaywwyak1wxb/?in=%EA%B0%95%EB%82%A8%EA%B5%AC-381,2025-02-17 15:30:14
